1cpu1c1Mb.cm		0.34	0.0030	0.0545	0.1586
1cpu2c1Mb.cm		0.45	0.0097	0.0984	0.2210
1cpu4c1Mb.cm		0.79	0.0324	0.1800	0.2281
1cpu8c1Mb.cm		1.37	0.0348	0.1867	0.1365
1cpu16c1Mb.cm		2.17	0.1013	0.3182	0.1469
1cpu32c1Mb.cm		2.53	0.1896	0.4355	0.1721
1cpu64c1Mb.cm		2.53	0.2064	0.4543	0.1796
--------------------------------------------------
1cpu1c1Mb.gom		1.94	0.1073	0.3276	0.1689
1cpu2c1Mb.gom		2.61	0.2881	0.5368	0.2054
1cpu4c1Mb.gom		4.35	0.5571	0.7464	0.1716
1cpu8c1Mb.gom		6.15	2.8832	1.6980	0.2762
1cpu16c1Mb.gom		11.71	7.1675	2.6772	0.2286
1cpu32c1Mb.gom		22.71	53.5767	7.3196	0.3223
1cpu64c1Mb.gom		36.08	76.7041	8.7581	0.2428
